,Prec_N5,Rec_N5,Rep_N5,MCC_N5,Prec_N5_GO,Rec_N5_GO,Rep_N5_GO,Prec_N5_KEGG,Rec_N5_KEGG,Rep_N5_KEGG,Prec_N10,Rec_N10,Rep_N10,MCC_N10,Prec_N10_GO,Rec_N10_GO,Rep_N10_GO,Prec_N10_KEGG,Rec_N10_KEGG,Rep_N10_KEGG,KL_Truth_N5_mean,KL_Truth_N5_median,KL_Truth_N5_std,Spear_Truth_N5_mean,Spear_Truth_N5_median,Spear_Truth_N5_std,KL_Truth_N10_mean,KL_Truth_N10_median,KL_Truth_N10_std,Spear_Truth_N10_mean,Spear_Truth_N10_median,Spear_Truth_N10_std,KL_Cohort_N5_mean,KL_Cohort_N5_median,KL_Cohort_N5_std,Spear_Cohort_N5_mean,Spear_Cohort_N5_median,Spear_Cohort_N5_std,KL_Cohort_N10_mean,KL_Cohort_N10_median,KL_Cohort_N10_std,Spear_Cohort_N10_mean,Spear_Cohort_N10_median,Spear_Cohort_N10_std
LUSC,0.958993947242158,0.4445623342175066,0.4777149144086153,0.6068136939784017,0.8052609646838211,0.7345971563981043,0.5167955223880597,0.8779646993932708,0.8585858585858586,0.6666666666666666,0.975414418906871,0.5980106100795756,0.6131261504511625,0.7207211647697267,0.8331487151620286,0.8068720379146919,0.6075943843672927,0.910427807486631,0.914141414141414,0.7619047619047619,0.024446895021125296,0.02404724218082773,0.0077946453733231304,0.8433029135620267,0.8506686738702942,0.028251108252274348,0.014028134498984374,0.012790212956802487,0.005258572559368038,0.904312333262416,0.9061203249605876,0.012373345311867493,0.01035844006610041,0.007533370074099158,0.007809714884613116,0.9227417274036749,0.9270919080059656,0.01607474734762574,0.006460013339920082,0.0058260885469124685,0.002084928672659246,0.9437151951514464,0.9444329129820217,0.007269879472879086
LMAB,0.0923295454545454,0.0084033613445378,0.0,0.0273734640862231,0.5283227848101266,0.1398809523809523,0.1187883633969097,0.5,0.1776315789473684,0.1071428571428571,0.2,0.0,0.0,0.047909485624656,0.7127421645963672,0.2544642857142857,0.2363636363636363,0.6177348551360843,0.2697368421052631,0.175438596491228,0.9154894807450874,0.8349013409297272,0.35049928762779725,0.31203760110193096,0.3391898319510647,0.11534994141622701,0.37225717919196966,0.35957655922400944,0.10448126200072784,0.4443928621467405,0.4408994990869215,0.08837316944219889,0.06535796985364303,0.05472254194603464,0.0314494995968814,0.7382036300704046,0.742193449463381,0.044629802746872456,0.04898094611816515,0.04557694211301869,0.01916974827658871,0.7389091495853637,0.740846186138159,0.03696683191114099
SNF2,1.0,0.5778546712802768,0.7336956521739131,0.7497557085242603,0.75,0.8,0.5416666666666666,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.9955156048906048,0.7231833910034602,0.8362831858407079,0.8444480504740924,0.7946998722860792,0.85,0.6153846153846154,1.0,0.8571428571428571,0.6666666666666666,0.03327419086113975,0.031078509789870326,0.008525540030498558,0.9059536472940249,0.9158152918435764,0.02797645396118607,0.024835438426302495,0.024224804851101192,0.0031285572004644845,0.9431208718973401,0.9440817376288745,0.01615622873944471,0.0174355329612135,0.015990224376762244,0.005295644773140673,0.9604421311544884,0.9612452265857194,0.008729111011753636,0.015195359995148476,0.014826562644604439,0.0037916524238775094,0.9676011369924323,0.967286068083523,0.005250838782833969
THCA,0.932150451887294,0.2830746489283074,0.2548675006030532,0.4997201078214036,0.4716981132075472,0.4651162790697674,0.1174001056152085,0.6346153846153846,0.5441176470588236,0.1586333720480062,0.9680818029777244,0.4186991869918699,0.4156574112547764,0.6247632382177425,0.6666666666666666,0.5,0.1904761904761904,0.7674418604651163,0.6764705882352942,0.2352941176470588,0.045075105060507756,0.04340118578596365,0.023251733709964004,0.7588576072491469,0.7750492845341773,0.08283148600382831,0.024754726603843986,0.02320476084850917,0.011747056712343265,0.8233563513124946,0.8341998275453211,0.04750834106388982,0.018891824677401456,0.017581617895893548,0.00956219258679707,0.866219156845504,0.8821103391310758,0.0481509751422698,0.015136763907226836,0.013596395899646379,0.005859654436234116,0.8843186249037528,0.8921440804601166,0.03519514120085013
HRLB,0.2864741641337386,0.0703125,0.031578947368421,0.1461113788150268,0.0777777777777777,0.1818181818181818,0.037037037037037,0.2222222222222222,0.2307692307692307,0.0377358490566037,0.5151515151515151,0.0859375,0.0384615384615384,0.21515720632297,0.2068965517241379,0.2727272727272727,0.06,0.3452380952380952,0.1538461538461538,0.0,0.5477469102695591,0.4899822867809629,0.1719605365082447,0.3536807474532177,0.37929284028182253,0.10104843218974184,0.21026800788073552,0.18526955700100567,0.07264355412955135,0.4422627610808332,0.45163619247733944,0.07640091792131003,0.06291051289188045,0.054663873349972913,0.034095292872380396,0.7410823555111428,0.7453830771414509,0.04419515306423672,0.04958377288714609,0.04452109041871106,0.018880349842501594,0.7238707339622831,0.7310798933071867,0.03928386842582194
BSLA,0.8387703948480126,0.1432074546346248,0.1868253845259773,0.3249840733046613,0.5550828481862964,0.5616438356164384,0.216,0.4285714285714285,0.4545454545454545,0.1515151515151515,0.8997971036414419,0.2474252084355076,0.3006400147459397,0.4412686448061568,0.6324561403508772,0.678082191780822,0.3427248677248677,0.5,0.5454545454545454,0.238095238095238,0.14480480283510544,0.11758432249805054,0.07056595382529862,0.588299251990049,0.6039538329737344,0.08746245209038969,0.04701791736156405,0.04270943941295351,0.01649529403104921,0.7317795524149635,0.739935531161906,0.04462250202222537,0.0375915876681429,0.029440054110763246,0.025236190914289268,0.8004804224298679,0.804027413559252,0.047010355560720515,0.014282200781481773,0.013840984334683523,0.004793446354060205,0.8628075634665531,0.8664581583197173,0.024277265182800486
GATB,0.9090909090909092,0.1071428571428571,0.1538461538461538,0.3217487635895777,0.8214285714285714,0.2924528301886792,0.1785714285714285,0.8888888888888888,0.3970588235294117,0.3478260869565217,0.9493589743589744,0.224025974025974,0.3385856079404467,0.4587261943924965,0.8208828522920204,0.5251572327044025,0.3778289810547874,0.914004914004914,0.5735294117647058,0.4883720930232558,0.4776274475976539,0.4570995452263947,0.13021327103210717,0.5972287656947793,0.6191545104974903,0.0928694280934406,0.2685010713952962,0.2651598520931213,0.05585108513545684,0.684870041726126,0.6952962049690263,0.06438599594299069,0.044103369761780524,0.03336043246572706,0.030245084695058867,0.8406580251021645,0.8484731795181721,0.04370402687296934,0.04768014618653917,0.03849456424466683,0.02431944617267947,0.8386644434271864,0.8421779169436006,0.031290416079346475
LUAD,0.941265331890332,0.3015217391304348,0.331065943056292,0.503941048918597,0.7547764529588818,0.6689944134078212,0.3985460021664656,0.875,0.7523809523809524,0.53125,0.9631332868635676,0.4865217391304348,0.5257391093675893,0.6615732090413247,0.8194596341220919,0.7597765363128491,0.524284259926005,0.901951360184562,0.8428571428571429,0.6487518052403549,0.04643550423495903,0.04400636306535266,0.022036283950726716,0.7743941698878203,0.7832841164116806,0.046250739420137785,0.021018288500985544,0.02009448542433332,0.008358885170272732,0.8538200663647766,0.8554611845476049,0.019486057003570537,0.01448103701970485,0.012072631530673863,0.007734042118946752,0.8901986767769365,0.8963620864800284,0.02512905361937775,0.009423205123557836,0.008858801426025846,0.0027169769174541095,0.9147175138071202,0.9147824968277131,0.011161557103970517
GIPF,0.5238095238095238,0.0434397163120567,0.0294117647058823,0.1527025156434992,0.4226190476190476,0.2666666666666666,0.0428571428571428,0.1376262626262626,0.125,0.0,0.7965367965367965,0.0709219858156028,0.0952380952380952,0.2527828265432753,0.6363636363636364,0.4,0.1538461538461538,0.4,0.125,0.0,0.4091969274198297,0.36547457882915535,0.18707175333705287,0.4198042962227911,0.4534430477798447,0.1028413519346011,0.15482604774586575,0.1453227698015907,0.056386679231324496,0.5621101488650183,0.5796761428733588,0.08050196847599743,0.05384584112651989,0.04736588207519764,0.033260564086702915,0.7267348212841139,0.7341407740566922,0.07685802230578014,0.02940147499173369,0.027902847630327562,0.010932059298939593,0.7625286555733547,0.7650359795668127,0.03950894614487513
HSPL,0.970464083544798,0.3775576485872036,0.4293117408117474,0.5593718077203567,0.8529300157207134,0.7612903225806451,0.5066152230358549,0.8906600249066002,0.7887323943661971,0.5736499517839923,0.9782982124431135,0.5839558298148749,0.6184664246823957,0.714180268427332,0.8642384105960265,0.8193548387096774,0.5935828877005348,0.919994879672299,0.852112676056338,0.6933333333333334,0.018414374353381804,0.015882342076052648,0.009940117245214538,0.8920105579371299,0.8960459653682806,0.02350070913687481,0.0085959843528308,0.007722936917929702,0.0032061911622655493,0.9378710232728887,0.941600588667942,0.013847406882163144,0.007162872721578741,0.0061705852894726266,0.003831504584868951,0.9503931924377034,0.9519496715020845,0.01521029444660288,0.005665474915152783,0.005361283987139262,0.0014076556271186446,0.9638439012874881,0.9666381953941257,0.009470085372566658
BRCA,0.9414632598671686,0.2345499792617171,0.268173954073608,0.4408001708393783,0.673002673002673,0.5603448275862069,0.3333333333333333,0.7353846153846153,0.6857142857142857,0.3880597014925373,0.9725622528868058,0.3774367482372459,0.4427211136080882,0.5758567170446858,0.7580085696796572,0.6788793103448276,0.4426260950239968,0.8243338008415148,0.7714285714285715,0.5333333333333333,0.05899794494328742,0.05764522351865957,0.028265823636883573,0.7342160275737737,0.7508230222359267,0.06412516570377388,0.029349108752850513,0.026044736660536506,0.012886009379589282,0.8216203348319575,0.8309421068335114,0.04043348827347731,0.015234871903970113,0.012327988175267608,0.00759133101168239,0.8782078887422148,0.8821309981413151,0.02476422835662855,0.011860620192628159,0.010625922939022495,0.004487941150098479,0.8998845891770606,0.8991564801552733,0.018962299357640766
KIRC,0.9634263825290594,0.3784722222222222,0.3672999178710207,0.558348640745354,0.823931963876281,0.7820069204152249,0.5357816711590296,0.8915505226480837,0.8580246913580247,0.6626506024096386,0.974228515856638,0.5345568783068784,0.5174239419842674,0.6877189402180228,0.8690877192982456,0.8252595155709342,0.6357798635687542,0.9230769230769232,0.9135802469135802,0.7441860465116279,0.02436835040495458,0.02266494620615237,0.01129714233493746,0.8200211844276104,0.8336843240834737,0.05884079466255106,0.01380475659704201,0.013112359508548773,0.004321255938232049,0.8882450129703342,0.8922164980457072,0.021959948068491046,0.009294964664873768,0.008164085069810399,0.005150524170936319,0.9132208442439698,0.9197284479991977,0.03028134556463478,0.007443092037291147,0.0067831336686738145,0.002606897593189311,0.9345487609696399,0.9374740785212929,0.013218908680382826
BSLB,0.816913139554649,0.1438223938223938,0.1826892940412032,0.3204499985337823,0.25,0.5384615384615384,0.1042572463768116,0.1212121212121212,0.4,0.0681818181818181,0.8863877283781256,0.2316602316602316,0.2882591910704076,0.4317668598907632,0.3726851851851852,0.6923076923076923,0.2,0.1846590909090909,0.4,0.1,0.1741915575128208,0.1633987665522224,0.06426051654641221,0.5258421546837858,0.5299916313328285,0.06235307645296025,0.0776640128020193,0.0728242609996139,0.03196681304270092,0.6633725224749608,0.6741084977382359,0.04987544718976221,0.03776578553306184,0.03348408891692109,0.016322526129673696,0.7886874628201042,0.7929442384016288,0.04021957467098538,0.0191197677381731,0.016730579452582647,0.008684037963863874,0.8325830581143245,0.8360270684419844,0.02784624493521764
PRAD,0.7386363636363636,0.0833333333333333,0.0617283950617283,0.2607618351677322,0.402127659574468,0.5079365079365079,0.1546391752577319,0.3905228758169934,0.6521739130434783,0.2142857142857142,0.8927218614718615,0.1245318352059925,0.1415511771581232,0.3343146047401059,0.5354166666666667,0.6666666666666666,0.2585620455078583,0.4818796068796069,0.8260869565217391,0.3272727272727272,0.12611453627954025,0.12527919148054037,0.04912626285621592,0.6965331414731808,0.6983913283879684,0.06917753953051045,0.06399188709228744,0.057665493585201046,0.026208508050838547,0.7736737053859634,0.7800076061508884,0.04680652582887598,0.033964249725310126,0.027382939450766006,0.017538488105036873,0.8427443840455057,0.8487882422474022,0.045547125148407856,0.029864345942519552,0.027455545729246005,0.011012696934834417,0.8566918135667139,0.8566409502269858,0.030863026282333422
LIHC,0.8856432125088841,0.3006029285099052,0.2768398126018667,0.4933799300531898,0.7650785987991431,0.6328413284132841,0.4189662883320642,0.8456121343445286,0.7012987012987013,0.5128205128205128,0.9340853475430156,0.421188630490956,0.4239607914974013,0.6103544648396521,0.8054899645808737,0.7380073800738007,0.516019937950543,0.8809764735643815,0.7662337662337663,0.6,0.06672432775711541,0.0641752105915295,0.025117672342237475,0.7257734345714434,0.7265517405924253,0.03808915430946833,0.03444359972737005,0.0319979765560493,0.013839361680816831,0.8056865056681346,0.8085095814056891,0.027616573462328747,0.01713965356479532,0.015034012213325435,0.008567569771965591,0.8699265274536979,0.8718664043224854,0.023097885115392743,0.013983312153089511,0.012798100734013999,0.004382317422808383,0.8896389779900327,0.8905788864862448,0.016629969976601842
HRLA,0.4767316017316017,0.0822981366459627,0.0470193446506119,0.1976669880135789,0.5608326773375316,0.3657407407407407,0.1463414634146341,0.5932203389830508,0.2678571428571428,0.1363636363636363,0.6881944444444444,0.1350931677018633,0.1018518518518518,0.2963715678276207,0.6378193374893044,0.5231481481481481,0.2375,0.6825307950727884,0.4732142857142857,0.25,0.27475360402868676,0.2528839921751992,0.12116388404310346,0.4968235967890184,0.5179222090667381,0.08641554210741614,0.10314356157030335,0.0944179894546899,0.03938697877427369,0.6104825366189504,0.6112830740722434,0.05741056611159717,0.05892470132474195,0.04735585405806929,0.03817660248918957,0.7731057557921616,0.7771005563997596,0.04366732160254698,0.02875863483395645,0.025430429309194022,0.01100237241416667,0.7927724732012232,0.7958272677250569,0.032650921319546056
BSHR,0.6080515297906602,0.1236338797814207,0.0997681726581982,0.2552984905713763,0.116025641025641,0.2105263157894736,0.0319148936170212,0.1578947368421052,0.3333333333333333,0.0769230769230769,0.7589954337899543,0.2144808743169398,0.2,0.4030031503142683,0.24,0.2631578947368421,0.0555555555555555,0.2763636363636363,0.3333333333333333,0.1,0.23638738351956728,0.1897928061603108,0.1115339752297433,0.4475516492892025,0.45298407665828244,0.07570384168613732,0.09062103968555953,0.07632073819935484,0.042813151507334904,0.6131484953969101,0.61485367768825,0.0475889825646242,0.04932263610687126,0.04670323274680214,0.019094875145940517,0.7589592230202591,0.7600298680373303,0.036472637722766134,0.026247376751550148,0.02458110054445479,0.008496058960002967,0.8015819591743242,0.8031702369204656,0.026923522342613304
COAD,0.9527298012417184,0.3367486338797814,0.3748786104844749,0.5300396198797404,0.6233321473047501,0.6929133858267716,0.3429614181438999,0.8256781193490055,0.8378378378378378,0.5833333333333334,0.966603610779238,0.5072859744990892,0.5300413434604612,0.6729119064691718,0.6886727407042601,0.8031496062992126,0.4681818181818182,0.8807894736842106,0.918918918918919,0.7209302325581395,0.03391884059828249,0.026541189686026263,0.024737969822606468,0.8135826134277028,0.8173117188460539,0.03837809222891942,0.015242384370258034,0.01263523074408016,0.008845865371312886,0.8902210309143147,0.8940030291768493,0.015704655688176812,0.01195252403191864,0.010575968847116573,0.005556103928894891,0.9120405569013057,0.9153572464859214,0.01898919699648764,0.007561295221818555,0.007392205013663054,0.0023133755284845143,0.9348975085578316,0.9354728202257048,0.010318036530620541
